"Model","Median_Residual","Multiple_R_Squared","P_Value"
"c19ProSo01",0.2294,0.1741,7.689e-72
"c19ProSo02",0.1872,0.2633,6.183e-133
"c19ProSo03",0.1699,0.1496,7.22e-57
"c19ProSo04",0.2909,0.1437,2.2e-53
