"Model","Median_Residual","Multiple_R_Squared","P_Value"
"c19ProSo01",0.1481,0.1681,2.04e-08
"c19ProSo02",0.01889,0.2339,6.945e-18
"c19ProSo03",0.01068,0.2047,2.287e-13
"c19ProSo04",0.1142,0.2093,4.849e-14
