"Model","Median_Residual","Multiple_R_Squared","P_Value"
"c19ProSo01",0.2031,0.1135,0
"c19ProSo02",0.2292,0.1646,0
"c19ProSo03",0.1863,0.1086,0
"c19ProSo04",0.3021,0.153,0
